Categoría;Fecha;Hora;Estudiante; Precio ;Dirección;Plus Code;Razon no captura de datos;Categorías;Observaciones
Peluquería;25/02/2019;3:42 p. m.;Maria Paola Torres; $ 14,000 ;Calle 24 # 4a - 23;JW5J+9V Bogotá;;Largo;
Peluquería;25/02/2019;3:42 p. m.;Maria Paola Torres; $ 12,000 ;;JW5J+9V Bogotá;;Corto;
Peluquería;25/02/2019;3:44 p. m.;Maria Paola Torres; $ 8,000 ;Calle 24 # 4a - 71;JW5J+9R Bogotá;;Ambos;
Peluquería;25/02/2019;4:03 p. m.;Maria Paola Torres; $ 15,000 ;Carrera 7 # 22 - 31 ;JW5H+CP Bogotá;;Largo;Local 102
Peluquería;25/02/2019;4:03 p. m.;Maria Paola Torres; $ 12,000 ;;JW5H+CP Bogotá;;Corto;Local 102
Peluquería;25/02/2019;4:04 p. m.;Maria Paola Torres; $ 12,000 ;;JW5H+CP Bogotá;;Largo;Local 103
Peluquería;25/02/2019;4:04 p. m.;Maria Paola Torres; $ 10,000 ;;JW5H+CP Bogotá;;Corto;Local 103
Peluquería;25/02/2019;4:04 p. m.;Maria Paola Torres; $ 10,000 ;;JW5H+CP Bogotá;;Largo;Local 104
Peluquería;25/02/2019;4:04 p. m.;Maria Paola Torres; $ 9,000 ;;JW5H+CP Bogotá;;Corto;Local 104
Peluquería;25/02/2019;4:05 p. m.;Maria Paola Torres; $ 10,000 ;;JW5H+CP Bogotá;;Ambos;Local 106
Peluquería;25/02/2019;4:05 p. m.;Maria Paola Torres; $ 14,000 ;;JW5H+CP Bogotá;;Largo;Local 113
Peluquería;25/02/2019;4:05 p. m.;Maria Paola Torres; $ 12,000 ;;JW5H+CP Bogotá;;Corto;Local 113
Peluquería;25/02/2019;4:06 p. m.;Maria Paola Torres; $ 10,000 ;;JW5H+CP Bogotá;;Largo;Local 129
Peluquería;25/02/2019;4:06 p. m.;Maria Paola Torres; $ 8,000 ;;JW5H+CP Bogotá;;Corto;Local 129
Peluquería;25/02/2019;4:15 p. m.;Maria Paola Torres; $ 12,000 ;Calle 21 # 6 - 53;JW4H+PM Bogotá;;Largo;
Peluquería;25/02/2019;4:15 p. m.;Maria Paola Torres; $ 10,000 ;;JW4H+PM Bogotá;;Corto;
Peluquería;25/02/2019;4:17 p. m.;Maria Paola Torres; $ 12,000 ;Calle 21 # 5 - 51;JW4H+GX Bogotá;;Largo;
Peluquería;25/02/2019;4:17 p. m.;Maria Paola Torres; $ 10,000 ;;JW4H+GX Bogotá;;Corto;
Peluquería;25/02/2019;4:32 p. m.;Maria Paola Torres; $ 9,000 ;Calle 19 # 5 -68;JW3H+XM Bogotá;;Largo;
Peluquería;25/02/2019;4:32 p. m.;Maria Paola Torres; $ 8,000 ;;JW3H+XM Bogotá;;Corto;
Peluquería;25/02/2019;4:35 p. m.;Maria Paola Torres; $ 15,000 ;Carrera 4 # 19 - 20;JW3J+FF Bogotá;;Largo;Local 111
Peluquería;25/02/2019;4:35 p. m.;Maria Paola Torres; $ 10,000 ;;JW3J+FF Bogotá;;Corto;Local 111
Peluquería;25/02/2019;4:35 p. m.;Maria Camila Hurtado; $ 20,000 ;;JW3J+FF Bogotá;;Largo;Local 110
Peluquería;25/02/2019;4:35 p. m.;Maria Camila Hurtado; $ 15,000 ;;JW3J+FF Bogotá;;Corto;Local 110
Peluquería;25/02/2019;4:36 p. m.;Maria Camila Hurtado; $ 18,000 ;;JW3J+FF Bogotá;;Largo;Local 105
Peluquería;25/02/2019;4:36 p. m.;Maria Camila Hurtado; $ 14,000 ;;JW3J+FF Bogotá;;Corto;Local 105
Peluquería;25/02/2019;4:41 p. m.;Maria Camila Hurtado; $ 22,000 ;Calle 19 # 3a - 37;JW3J+6G Bogotá;;Largo;Local 109
Peluquería;25/02/2019;4:41 p. m.;Maria Camila Hurtado; $ 15,000 ;;JW3J+6G Bogotá;;Corto;Local 109
Peluquería;25/02/2019;4:42 p. m.;Maria Camila Hurtado; $ 12,000 ;;JW3J+6G Bogotá;;Largo;Local 110
Peluquería;25/02/2019;4:42 p. m.;Maria Camila Hurtado; $ 10,000 ;;JW3J+6G Bogotá;;Corto;Local 110
Peluquería;25/02/2019;4:42 p. m.;Maria Camila Hurtado; $ 15,000 ;;JW3J+6G Bogotá;;Largo;Local 111
Peluquería;25/02/2019;4:42 p. m.;Maria Camila Hurtado; $ 12,000 ;;JW3J+6G Bogotá;;Corto;Local 111
Peluquería;25/02/2019;4:44 p. m.;Maria Camila Hurtado; $ 15,000 ;;JW3J+6G Bogotá;;Largo;Local 102
Peluquería;25/02/2019;4:44 p. m.;Maria Camila Hurtado; $ 12,000 ;;JW3J+6G Bogotá;;Corto;Local 102
Peluquería;25/02/2019;4:45 p. m.;Maria Camila Hurtado; $ 16,000 ;;JW3J+6G Bogotá;;Largo;Local 115
Peluquería;25/02/2019;4:45 p. m.;Maria Camila Hurtado; $ 13,000 ;;JW3J+6G Bogotá;;Corto;Local 115
Peluquería;25/02/2019;4:45 p. m.;Maria Camila Hurtado; $ 13,000 ;;JW3J+6G Bogotá;;Largo;Local 103
Peluquería;25/02/2019;4:45 p. m.;Maria Camila Hurtado; $ 12,000 ;;JW3J+6G Bogotá;;Corto;Local 103
Peluquería;25/02/2019;4:46 p. m.;Maria Camila Hurtado; $ 12,000 ;;JW3J+6G Bogotá;;Ambos;Local 107
Peluquería;25/02/2019;4:47 p. m.;Maria Camila Hurtado; $ 12,000 ;Calle 19 # 4 - 71;JW3J+F4 Bogotá;;Largo;Local 202
Peluquería;25/02/2019;4:47 p. m.;Maria Camila Hurtado; $ 7,000 ;;JW3J+F4 Bogotá;;Corto;Local 202
Peluquería;25/02/2019;4:50 p. m.;Maria Camila Hurtado; $ 14,000 ;;JW3J+F4 Bogotá;;Ambos;Local 123
Peluquería;25/02/2019;4:50 p. m.;Maria Camila Hurtado; $ 10,000 ;Calle 19 # 6 - 99;JW3H+WH Bogotá;;Largo;Local 210
Peluquería;25/02/2019;4:51 p. m.;Maria Camila Hurtado; $ 8,000 ;;JW3H+WH Bogotá;;Corto;Local 210
Peluquería;25/02/2019;4:51 p. m.;Maria Camila Hurtado; $ 20,000 ;;JW3H+WH Bogotá;;Ambos;Local 219
Peluquería;25/02/2019;4:52 p. m.;Gabriela Rodríguez;;;JW3H+WH Bogotá;No había nadie atendiendo;;Local 203
Peluquería;25/02/2019;5:20 p. m.;Gabriela Rodríguez; $ 9,000 ;Calle 18 # 6 - 45;JW3H+M8 Bogotá;;Ambos;
Peluquería;25/02/2019;5:21 p. m.;Gabriela Rodríguez; $ 20,000 ;Calle 18 # 5 - 65;JW3H+FG Bogotá;;Largo;
Peluquería;25/02/2019;5:21 p. m.;Gabriela Rodríguez; $ 15,000 ;;JW3H+FG Bogotá;;Corto;
Peluquería;25/02/2019;5:30 p. m.;Gabriela Rodríguez; $ 7,000 ;Calle 17 # 4 - 44;JW2H+RX Bogotá;;Ambos;
Peluquería;25/02/2019;5:35 p. m.;Gabriela Rodríguez; $ 12,000 ;Calle 18 # 4 - 75;JW3H+7W Bogotá;;Largo;
Peluquería;25/02/2019;5:36 p. m.;Gabriela Rodríguez; $ 8,000 ;;JW3H+7W Bogotá;;Corto;
Peluquería;25/02/2019;5:45 p. m.;Gabriela Rodríguez; $ 12,000 ;Calle 17 # 4 - 70;JW2H+XV Bogotá;;Largo;
Peluquería;25/02/2019;5:45 p. m.;Gabriela Rodríguez; $ 10,000 ;;JW2H+XV Bogotá;;Corto;
Peluquería;1/03/2019;1:15 p. m.;Gabriela Rodríguez; $ 10,000 ;Carrera 5 Bis #12c-12;JW2H+32 Bogotá;;Largo;
Peluquería;1/03/2019;1:15 p. m.;Gabriela Rodríguez; $ 9,000 ;;JW2H+32 Bogotá;;Corto;
Peluquería;1/03/2019;1:15 p. m.;Gabriela Rodríguez; $ 13,000 ;Carrera 5 Bis #12C-32;JW2H+43 Bogotá;;Ambos;
Peluquería;1/03/2019;1:16 p. m.;Gabriela Rodríguez; $ 13,000 ;;JW2H+43 Bogotá;;Ambos;
Peluquería;1/03/2019;1:17 p. m.;Gabriela Rodríguez; $ 15,000 ;;JW2H+43 Bogotá;;Largo;
Peluquería;1/03/2019;1:18 p. m.;Gabriela Rodríguez; $ 10,000 ;;JW2H+43 Bogotá;;Corto;
Peluquería;1/03/2019;1:19 p. m.;Gabriela Rodríguez; $ 7,000 ;Calle 12B #3-95;HWXH+78 Bogotá;;Ambos;
Peluquería;1/03/2019;1:20 p. m.;Gabriela Rodríguez; $ 13,000 ;Calle 12B #6-86 Sótano;HWXG+X9 Bogotá;;Ambos;
Peluquería;1/03/2019;1:21 p. m.;Gabriela Rodríguez; $ 30,000 ;Calle 12 #6-83;HWXG+H5 Bogotá;;Ambos;
Peluquería;1/03/2019;1:22 p. m.;Gabriela Rodríguez; $ 12,000 ;Calle 12#4-84;HWXG+5V Bogotá;;Largo;
Peluquería;1/03/2019;1:23 p. m.;Gabriela Rodríguez; $ 8,000 ;;HWXG+5V Bogotá;;Corto;
Peluquería;1/03/2019;2:00 p. m.;Gabriela Rodríguez; $ 16,000 ;Carrera 7 # 12B-27;HWXG+W7 Bogotá;;Ambos;Pasaje 102
Peluquería;1/03/2019;2:05 p. m.;Gabriela Rodríguez; $ 18,000 ;;HWXG+W7 Bogotá;;Ambos;Pasaje 103
Peluquería;1/03/2019;2:08 p. m.;Gabriela Rodríguez; $ 20,000 ;;HWXG+W7 Bogotá;;Ambos;Pasaje 104
Peluquería;1/03/2019;2:10 p. m.;Gabriela Rodríguez; $ 20,000 ;;HWXG+W7 Bogotá;;Ambos;Pasaje 111
